timestamp,event_type,user_session
2024-01-01 03:02:00,page_view,12
2024-01-01 03:03:00,scroll,2
2024-01-01 03:04:00,click,18
2024-01-01 03:05:00,page_view,7
2024-01-01 03:06:00,scroll,26
2024-01-01 03:07:00,purchase,17
2024-01-01 03:08:00,click,22
2024-01-01 03:09:00,scroll,23
2024-01-01 03:10:00,scroll,14
2024-01-01 03:11:00,scroll,24
2024-01-01 03:12:00,page_view,7
2024-01-01 03:13:00,click,22
2024-01-01 03:14:00,click,25
2024-01-01 03:15:00,hover,29
2024-01-01 03:16:00,page_view,3
2024-01-01 03:17:00,scroll,27
2024-01-01 03:18:00,click,6
2024-01-01 03:19:00,click,20
2024-01-01 03:20:00,click,2
2024-01-01 03:21:00,click,17
2024-01-01 03:22:00,page_view,12
2024-01-01 03:23:00,exit,12
2024-01-01 03:24:00,click,17
2024-01-01 03:25:00,scroll,27
2024-01-01 03:26:00,click,10
2024-01-01 03:27:00,scroll,3
2024-01-01 03:28:00,click,20
2024-01-01 03:29:00,exit,18
2024-01-01 03:30:00,page_view,13
2024-01-01 03:31:00,purchase,12
2024-01-01 03:32:00,exit,27
2024-01-01 03:33:00,scroll,27
2024-01-01 03:34:00,page_view,27
2024-01-01 03:35:00,click,17
2024-01-01 03:36:00,scroll,4
2024-01-01 03:37:00,exit,23
2024-01-01 03:38:00,click,10
2024-01-01 03:39:00,exit,11
2024-01-01 03:40:00,scroll,6
2024-01-01 03:41:00,exit,6
2024-01-01 03:42:00,exit,27
2024-01-01 03:43:00,page_view,9
2024-01-01 03:44:00,page_view,15
2024-01-01 03:45:00,scroll,2
2024-01-01 03:46:00,hover,4
2024-01-01 03:47:00,purchase,5
2024-01-01 03:48:00,hover,17
2024-01-01 03:49:00,page_view,8
2024-01-01 03:50:00,page_view,8
2024-01-01 03:51:00,hover,22
2024-01-01 03:52:00,page_view,12
2024-01-01 03:53:00,hover,21
2024-01-01 03:54:00,page_view,8
2024-01-01 03:55:00,click,19
2024-01-01 03:56:00,scroll,3
2024-01-01 03:57:00,scroll,18
2024-01-01 03:58:00,click,21
2024-01-01 03:59:00,click,19
2024-01-01 04:00:00,page_view,19
2024-01-01 04:01:00,click,15
2024-01-01 04:02:00,scroll,6
2024-01-01 04:03:00,hover,16
2024-01-01 04:04:00,purchase,8
2024-01-01 04:05:00,hover,16
2024-01-01 04:06:00,purchase,18
2024-01-01 04:07:00,page_view,20
2024-01-01 04:08:00,click,16
2024-01-01 04:09:00,page_view,11
2024-01-01 04:10:00,hover,7
2024-01-01 04:11:00,scroll,17
2024-01-01 04:12:00,click,17
2024-01-01 04:13:00,hover,12
2024-01-01 04:14:00,click,13
2024-01-01 04:15:00,page_view,10
2024-01-01 04:16:00,click,7
2024-01-01 04:17:00,page_view,14
2024-01-01 04:18:00,page_view,23
2024-01-01 04:19:00,click,1
2024-01-01 04:20:00,scroll,17
2024-01-01 04:21:00,page_view,4
2024-01-01 04:22:00,hover,21
2024-01-01 04:23:00,exit,5
2024-01-01 04:24:00,scroll,20
2024-01-01 04:25:00,hover,24
2024-01-01 04:26:00,scroll,23
2024-01-01 04:27:00,scroll,25
2024-01-01 04:28:00,click,7
2024-01-01 04:29:00,page_view,10
2024-01-01 04:30:00,scroll,17
2024-01-01 04:31:00,click,29
2024-01-01 04:32:00,page_view,7
2024-01-01 04:33:00,hover,1
2024-01-01 04:34:00,scroll,7
2024-01-01 04:35:00,click,26
2024-01-01 04:36:00,scroll,24
2024-01-01 04:37:00,scroll,11
2024-01-01 04:38:00,page_view,9
2024-01-01 04:39:00,scroll,12
2024-01-01 04:40:00,page_view,3
2024-01-01 04:41:00,exit,4
2024-01-01 04:42:00,click,4
2024-01-01 04:43:00,purchase,28
2024-01-01 04:44:00,scroll,25
2024-01-01 04:45:00,click,13
2024-01-01 04:46:00,scroll,23
2024-01-01 04:47:00,click,19
2024-01-01 04:48:00,click,10
2024-01-01 04:49:00,scroll,5
2024-01-01 04:50:00,hover,7
2024-01-01 04:51:00,exit,24
2024-01-01 04:52:00,page_view,16
2024-01-01 04:53:00,click,1
2024-01-01 04:54:00,page_view,12
2024-01-01 04:55:00,page_view,2
2024-01-01 04:56:00,hover,7
2024-01-01 04:57:00,hover,11
2024-01-01 04:58:00,exit,29
2024-01-01 04:59:00,scroll,13
